severity,category,table_name,column_name,current_type,recommended,detail
medium,boolean_naming,password_auth_providers,enabled,bool,is_enabled,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,private_messages,read_by_receiver,bool,is_read_by_receiver,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,push_notification_log,success,bool,is_success,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,push_provider_configs,enabled,bool,is_enabled,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,refresh_token_usage,success,bool,is_success,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,room_directory,searchable,bool,is_searchable,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,room_retention_policies,expire_on_clients,bool,is_expire_on_clients,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,room_summaries,world_readable,bool,is_world_readable,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,room_summaries,guest_can_join,bool,is_guest_can_join,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,room_summaries,federation_allowed,bool,is_federation_allowed,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,schema_migrations,success,bool,is_success,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,server_retention_policy,allow_default,bool,is_default,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,server_retention_policy,expire_on_clients,bool,is_expire_on_clients,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,space_children,suggested,bool,is_suggested,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,to_device_messages,delivered,bool,is_delivered,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,typing,typing,bool,is_typing,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,users,must_change_password,bool,is_must_change_password,布尔字段未使用 is_/has_ 前缀
high,id_type_inconsistent,*,app_id,text|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,as_id,text|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,device_id,text|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,event_id,text|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,id,int4|int8|uuid|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,key_id,text|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,last_reply_event_id,text|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,media_id,text|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,name_id,text|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,request_id,text|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,room_id,text|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,rule_id,int4|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,sender_id,text|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,session_id,text|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,target_worker_id,text|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,id_type_inconsistent,*,user_id,text|varchar,统一为 varchar(255) 或 text 并在同语义域保持一致,同名 ID 字段存在多种数据类型
high,redundant_columns,application_service_events,as_id|appservice_id,-,保留单一规范字段并建立兼容迁移,存在语义重叠字段
high,redundant_columns,application_service_state,as_id|appservice_id,-,保留单一规范字段并建立兼容迁移,存在语义重叠字段
high,redundant_columns,application_service_user_namespaces,as_id|appservice_id,-,保留单一规范字段并建立兼容迁移,存在语义重叠字段
high,redundant_columns,application_service_users,as_id|appservice_id,-,保留单一规范字段并建立兼容迁移,存在语义重叠字段
high,redundant_columns,password_auth_providers,enabled|is_enabled,-,保留单一规范字段并建立兼容迁移,存在语义重叠字段
medium,missing_fk,access_tokens,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,access_tokens,appservice_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,account_data,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,account_data_callbacks,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,active_tokens,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,active_tokens,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,active_tokens,appservice_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,application_service_events,appservice_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,application_service_events,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,application_service_events,as_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,application_service_state,appservice_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,application_service_state,as_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,application_service_statistics,as_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,application_service_user_namespaces,appservice_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,application_service_users,appservice_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,application_service_users,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,application_service_users,as_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,application_services,as_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,backup_keys,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,blocked_rooms,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,captcha_send_log,captcha_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,cas_proxy_granting_tickets,user_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,cas_services,service_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,cas_slo_sessions,user_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,deleted_events_index,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,device_keys,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,device_signatures,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,device_signatures,target_user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,device_signatures,target_device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,device_signing_keys,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,device_signing_keys,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,devices,appservice_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,e2ee_key_requests,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,e2ee_key_requests,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,e2ee_key_requests,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,event_report_history,actor_user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,event_reports,reported_user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,event_signatures,user_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,event_signatures,device_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,events,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,federation_queue,room_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,filters,filter_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,filters,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,media_callbacks,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,media_metadata,uploader_user_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,media_quota_alerts_backup_20260301,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,notifications,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,notifications,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,olm_accounts,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,olm_accounts,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,olm_sessions,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,olm_sessions,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,openid_tokens,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,openid_tokens,device_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,password_auth_providers,provider_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,presence_routes,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,push_device,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,push_device,app_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,push_devices,user_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,push_devices,device_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,push_devices,app_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,push_notification_log,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,push_notification_log,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,push_notification_queue,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,push_notification_queue,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,pushers,app_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,pushers,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,rate_limit_callbacks,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,refresh_token_families,family_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,refresh_token_families,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,refresh_token_rotations,family_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,refresh_token_usage,refresh_token_id,int8,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,refresh_token_usage,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,refresh_token_usage,old_access_token_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,refresh_token_usage,new_access_token_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,refresh_tokens,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,refresh_tokens,access_token_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,registration_captcha,captcha_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,registration_token_batches,batch_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,retention_cleanup_queue,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,room_account_data,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,room_account_data,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,room_aliases,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,room_parents,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,room_parents,parent_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,room_state_events,room_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,room_summaries,last_event_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,room_summary_members,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,room_summary_update_queue,room_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,rooms,create_event_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,rooms,join_rules_event_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,saml_auth_events,user_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,saml_identity_providers,entity_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,saml_logout_requests,user_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,space_events,space_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,space_members,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,space_summaries,space_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,spam_check_results,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,thread_read_receipts,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,thread_read_receipts,thread_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,thread_read_receipts,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,thread_read_receipts,last_read_event_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,thread_replies,thread_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,thread_replies,root_event_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,thread_replies,in_reply_to_event_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,thread_roots,thread_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,thread_roots,root_event_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,thread_roots,last_reply_event_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,thread_statistics,thread_root_event_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,thread_statistics,last_reply_event_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,thread_subscriptions,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,thread_subscriptions,thread_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,to_device_messages,sender_user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,to_device_messages,sender_device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,to_device_messages,recipient_user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,to_device_messages,recipient_device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,token_blacklist,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,typing,user_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,typing,room_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,user_account_data,user_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,user_media_quota_backup_20260301,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,user_sessions,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,user_sessions,device_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,users,appservice_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,v_active_users,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,v_room_statistics,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,voice_usage_stats,user_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,voice_usage_stats,room_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,worker_commands,command_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,worker_events,stream_id,int8,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,worker_task_assignments,task_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,worker_tasks,assigned_worker_id,text,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
medium,missing_fk,workers,worker_id,varchar,评估并补充外键或显式记录无外键原因,疑似关联字段缺少主外键约束
